Dia de Data Registro Vacina;Dose;Contagem de Dose
6 de outubro de 2021;1° DOSE;23652
5 de outubro de 2021;1° DOSE;37564
4 de outubro de 2021;1° DOSE;40523
3 de outubro de 2021;1° DOSE;7040
2 de outubro de 2021;1° DOSE;51242
1 de outubro de 2021;1° DOSE;37185
30 de setembro de 2021;1° DOSE;48850
29 de setembro de 2021;1° DOSE;50137
28 de setembro de 2021;1° DOSE;54333
27 de setembro de 2021;1° DOSE;62495
26 de setembro de 2021;1° DOSE;6592
25 de setembro de 2021;1° DOSE;30683
24 de setembro de 2021;1° DOSE;60135
23 de setembro de 2021;1° DOSE;67398
22 de setembro de 2021;1° DOSE;64141
21 de setembro de 2021;1° DOSE;68117
20 de setembro de 2021;1° DOSE;74200
19 de setembro de 2021;1° DOSE;13508
18 de setembro de 2021;1° DOSE;56270
17 de setembro de 2021;1° DOSE;97579
16 de setembro de 2021;1° DOSE;117064
15 de setembro de 2021;1° DOSE;139462
14 de setembro de 2021;1° DOSE;162306
13 de setembro de 2021;1° DOSE;172834
12 de setembro de 2021;1° DOSE;22040
11 de setembro de 2021;1° DOSE;104957
10 de setembro de 2021;1° DOSE;185197
9 de setembro de 2021;1° DOSE;238425
8 de setembro de 2021;1° DOSE;197214
7 de setembro de 2021;1° DOSE;38163
6 de setembro de 2021;1° DOSE;195755
5 de setembro de 2021;1° DOSE;14460
4 de setembro de 2021;1° DOSE;78756
3 de setembro de 2021;1° DOSE;196835
2 de setembro de 2021;1° DOSE;213878
1 de setembro de 2021;1° DOSE;274208
31 de agosto de 2021;1° DOSE;295131
30 de agosto de 2021;1° DOSE;274783
29 de agosto de 2021;1° DOSE;20282
28 de agosto de 2021;1° DOSE;65810
27 de agosto de 2021;1° DOSE;124042
26 de agosto de 2021;1° DOSE;134063
25 de agosto de 2021;1° DOSE;146215
24 de agosto de 2021;1° DOSE;151017
23 de agosto de 2021;1° DOSE;147071
22 de agosto de 2021;1° DOSE;20410
21 de agosto de 2021;1° DOSE;110748
20 de agosto de 2021;1° DOSE;172893
19 de agosto de 2021;1° DOSE;174977
18 de agosto de 2021;1° DOSE;235456
17 de agosto de 2021;1° DOSE;283665
16 de agosto de 2021;1° DOSE;314188
15 de agosto de 2021;1° DOSE;241618
14 de agosto de 2021;1° DOSE;430016
13 de agosto de 2021;1° DOSE;451705
12 de agosto de 2021;1° DOSE;448986
11 de agosto de 2021;1° DOSE;414956
10 de agosto de 2021;1° DOSE;419709
9 de agosto de 2021;1° DOSE;263724
8 de agosto de 2021;1° DOSE;20014
7 de agosto de 2021;1° DOSE;163005
6 de agosto de 2021;1° DOSE;347394
5 de agosto de 2021;1° DOSE;361206
4 de agosto de 2021;1° DOSE;351266
3 de agosto de 2021;1° DOSE;311841
2 de agosto de 2021;1° DOSE;272086
1 de agosto de 2021;1° DOSE;16646
31 de julho de 2021;1° DOSE;170421
30 de julho de 2021;1° DOSE;307129
29 de julho de 2021;1° DOSE;222723
28 de julho de 2021;1° DOSE;210516
27 de julho de 2021;1° DOSE;312794
26 de julho de 2021;1° DOSE;282449
25 de julho de 2021;1° DOSE;24572
24 de julho de 2021;1° DOSE;195625
23 de julho de 2021;1° DOSE;375979
22 de julho de 2021;1° DOSE;357898
21 de julho de 2021;1° DOSE;380000
20 de julho de 2021;1° DOSE;380232
19 de julho de 2021;1° DOSE;383090
18 de julho de 2021;1° DOSE;42202
17 de julho de 2021;1° DOSE;312830
16 de julho de 2021;1° DOSE;338583
15 de julho de 2021;1° DOSE;312679
14 de julho de 2021;1° DOSE;196722
13 de julho de 2021;1° DOSE;210680
12 de julho de 2021;1° DOSE;274212
11 de julho de 2021;1° DOSE;13313
10 de julho de 2021;1° DOSE;74514
9 de julho de 2021;1° DOSE;245748
8 de julho de 2021;1° DOSE;301002
7 de julho de 2021;1° DOSE;264375
6 de julho de 2021;1° DOSE;267218
5 de julho de 2021;1° DOSE;323286
4 de julho de 2021;1° DOSE;17886
3 de julho de 2021;1° DOSE;155724
2 de julho de 2021;1° DOSE;311728
1 de julho de 2021;1° DOSE;332177
30 de junho de 2021;1° DOSE;390694
29 de junho de 2021;1° DOSE;382298
28 de junho de 2021;1° DOSE;287739
27 de junho de 2021;1° DOSE;35083
26 de junho de 2021;1° DOSE;300986
25 de junho de 2021;1° DOSE;408129
24 de junho de 2021;1° DOSE;409987
23 de junho de 2021;1° DOSE;422799
22 de junho de 2021;1° DOSE;331124
21 de junho de 2021;1° DOSE;337695
20 de junho de 2021;1° DOSE;42860
19 de junho de 2021;1° DOSE;405952
18 de junho de 2021;1° DOSE;434276
17 de junho de 2021;1° DOSE;468640
16 de junho de 2021;1° DOSE;403958
15 de junho de 2021;1° DOSE;283483
14 de junho de 2021;1° DOSE;252242
13 de junho de 2021;1° DOSE;16790
12 de junho de 2021;1° DOSE;154560
11 de junho de 2021;1° DOSE;247297
10 de junho de 2021;1° DOSE;190351
9 de junho de 2021;1° DOSE;177093
8 de junho de 2021;1° DOSE;168004
7 de junho de 2021;1° DOSE;169464
6 de junho de 2021;1° DOSE;10544
5 de junho de 2021;1° DOSE;91440
4 de junho de 2021;1° DOSE;131888
3 de junho de 2021;1° DOSE;113335
2 de junho de 2021;1° DOSE;214461
1 de junho de 2021;1° DOSE;150175
31 de maio de 2021;1° DOSE;151859
30 de maio de 2021;1° DOSE;14364
29 de maio de 2021;1° DOSE;113514
28 de maio de 2021;1° DOSE;199155
27 de maio de 2021;1° DOSE;134145
26 de maio de 2021;1° DOSE;137092
25 de maio de 2021;1° DOSE;147397
24 de maio de 2021;1° DOSE;146568
23 de maio de 2021;1° DOSE;17642
22 de maio de 2021;1° DOSE;91793
21 de maio de 2021;1° DOSE;196215
20 de maio de 2021;1° DOSE;137112
19 de maio de 2021;1° DOSE;147201
18 de maio de 2021;1° DOSE;212179
17 de maio de 2021;1° DOSE;74380
16 de maio de 2021;1° DOSE;81969
15 de maio de 2021;1° DOSE;121692
14 de maio de 2021;1° DOSE;201065
13 de maio de 2021;1° DOSE;151794
12 de maio de 2021;1° DOSE;182419
11 de maio de 2021;1° DOSE;117144
10 de maio de 2021;1° DOSE;107361
9 de maio de 2021;1° DOSE;11472
8 de maio de 2021;1° DOSE;127785
7 de maio de 2021;1° DOSE;252258
6 de maio de 2021;1° DOSE;260893
5 de maio de 2021;1° DOSE;156282
4 de maio de 2021;1° DOSE;126798
3 de maio de 2021;1° DOSE;80915
2 de maio de 2021;1° DOSE;8436
1 de maio de 2021;1° DOSE;28473
30 de abril de 2021;1° DOSE;108769
29 de abril de 2021;1° DOSE;154933
28 de abril de 2021;1° DOSE;104247
27 de abril de 2021;1° DOSE;95319
26 de abril de 2021;1° DOSE;114489
25 de abril de 2021;1° DOSE;12182
24 de abril de 2021;1° DOSE;64582
23 de abril de 2021;1° DOSE;185319
22 de abril de 2021;1° DOSE;140500
21 de abril de 2021;1° DOSE;208959
20 de abril de 2021;1° DOSE;120068
19 de abril de 2021;1° DOSE;70556
18 de abril de 2021;1° DOSE;14500
17 de abril de 2021;1° DOSE;35628
16 de abril de 2021;1° DOSE;65782
15 de abril de 2021;1° DOSE;89094
14 de abril de 2021;1° DOSE;122240
13 de abril de 2021;1° DOSE;134310
12 de abril de 2021;1° DOSE;145688
11 de abril de 2021;1° DOSE;11888
10 de abril de 2021;1° DOSE;67680
9 de abril de 2021;1° DOSE;43083
8 de abril de 2021;1° DOSE;58218
7 de abril de 2021;1° DOSE;94509
6 de abril de 2021;1° DOSE;124179
5 de abril de 2021;1° DOSE;116501
4 de abril de 2021;1° DOSE;5691
3 de abril de 2021;1° DOSE;42087
2 de abril de 2021;1° DOSE;49347
1 de abril de 2021;1° DOSE;91072
31 de março de 2021;1° DOSE;84174
30 de março de 2021;1° DOSE;112975
29 de março de 2021;1° DOSE;159856
28 de março de 2021;1° DOSE;16984
27 de março de 2021;1° DOSE;103090
26 de março de 2021;1° DOSE;211672
25 de março de 2021;1° DOSE;125265
24 de março de 2021;1° DOSE;90170
23 de março de 2021;1° DOSE;104667
22 de março de 2021;1° DOSE;139332
21 de março de 2021;1° DOSE;14042
20 de março de 2021;1° DOSE;91239
19 de março de 2021;1° DOSE;193244
18 de março de 2021;1° DOSE;78770
17 de março de 2021;1° DOSE;79720
16 de março de 2021;1° DOSE;82617
15 de março de 2021;1° DOSE;131386
14 de março de 2021;1° DOSE;9397
13 de março de 2021;1° DOSE;29725
12 de março de 2021;1° DOSE;55647
11 de março de 2021;1° DOSE;56554
10 de março de 2021;1° DOSE;59896
9 de março de 2021;1° DOSE;69340
8 de março de 2021;1° DOSE;73847
7 de março de 2021;1° DOSE;11954
6 de março de 2021;1° DOSE;49041
5 de março de 2021;1° DOSE;79166
4 de março de 2021;1° DOSE;106397
3 de março de 2021;1° DOSE;130630
2 de março de 2021;1° DOSE;98989
1 de março de 2021;1° DOSE;112704
28 de fevereiro de 2021;1° DOSE;13738
27 de fevereiro de 2021;1° DOSE;49703
26 de fevereiro de 2021;1° DOSE;22642
25 de fevereiro de 2021;1° DOSE;24699
24 de fevereiro de 2021;1° DOSE;26805
23 de fevereiro de 2021;1° DOSE;33925
22 de fevereiro de 2021;1° DOSE;37649
21 de fevereiro de 2021;1° DOSE;5982
20 de fevereiro de 2021;1° DOSE;16295
19 de fevereiro de 2021;1° DOSE;43117
18 de fevereiro de 2021;1° DOSE;50243
17 de fevereiro de 2021;1° DOSE;51913
16 de fevereiro de 2021;1° DOSE;53746
15 de fevereiro de 2021;1° DOSE;68483
14 de fevereiro de 2021;1° DOSE;7174
13 de fevereiro de 2021;1° DOSE;29943
12 de fevereiro de 2021;1° DOSE;107352
11 de fevereiro de 2021;1° DOSE;94585
10 de fevereiro de 2021;1° DOSE;82680
9 de fevereiro de 2021;1° DOSE;110487
8 de fevereiro de 2021;1° DOSE;101301
7 de fevereiro de 2021;1° DOSE;14148
6 de fevereiro de 2021;1° DOSE;43666
5 de fevereiro de 2021;1° DOSE;90629
4 de fevereiro de 2021;1° DOSE;80140
3 de fevereiro de 2021;1° DOSE;70531
2 de fevereiro de 2021;1° DOSE;58721
1 de fevereiro de 2021;1° DOSE;56138
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;21977
29 de janeiro de 2021;1° DOSE;55661
28 de janeiro de 2021;1° DOSE;70857
27 de janeiro de 2021;1° DOSE;38136
26 de janeiro de 2021;1° DOSE;44150
25 de janeiro de 2021;1° DOSE;21305
24 de janeiro de 2021;1° DOSE;6377
23 de janeiro de 2021;1° DOSE;16867
22 de janeiro de 2021;1° DOSE;51620
21 de janeiro de 2021;1° DOSE;32080
20 de janeiro de 2021;1° DOSE;14214
19 de janeiro de 2021;1° DOSE;7452
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
6 de outubro de 2021;2° DOSE;156801
5 de outubro de 2021;2° DOSE;238831
4 de outubro de 2021;2° DOSE;261326
3 de outubro de 2021;2° DOSE;17960
2 de outubro de 2021;2° DOSE;257055
1 de outubro de 2021;2° DOSE;274528
30 de setembro de 2021;2° DOSE;316990
29 de setembro de 2021;2° DOSE;320401
28 de setembro de 2021;2° DOSE;338780
27 de setembro de 2021;2° DOSE;347878
26 de setembro de 2021;2° DOSE;27187
25 de setembro de 2021;2° DOSE;165641
24 de setembro de 2021;2° DOSE;366403
23 de setembro de 2021;2° DOSE;340538
22 de setembro de 2021;2° DOSE;364035
21 de setembro de 2021;2° DOSE;375666
20 de setembro de 2021;2° DOSE;348714
19 de setembro de 2021;2° DOSE;29125
18 de setembro de 2021;2° DOSE;200326
17 de setembro de 2021;2° DOSE;405834
16 de setembro de 2021;2° DOSE;377496
15 de setembro de 2021;2° DOSE;370491
14 de setembro de 2021;2° DOSE;459588
13 de setembro de 2021;2° DOSE;470523
12 de setembro de 2021;2° DOSE;39010
11 de setembro de 2021;2° DOSE;300837
10 de setembro de 2021;2° DOSE;459595
9 de setembro de 2021;2° DOSE;530547
8 de setembro de 2021;2° DOSE;561761
7 de setembro de 2021;2° DOSE;75170
6 de setembro de 2021;2° DOSE;171665
5 de setembro de 2021;2° DOSE;24668
4 de setembro de 2021;2° DOSE;188556
3 de setembro de 2021;2° DOSE;405700
2 de setembro de 2021;2° DOSE;389911
1 de setembro de 2021;2° DOSE;323986
31 de agosto de 2021;2° DOSE;334098
30 de agosto de 2021;2° DOSE;310485
29 de agosto de 2021;2° DOSE;19182
28 de agosto de 2021;2° DOSE;168458
27 de agosto de 2021;2° DOSE;312421
26 de agosto de 2021;2° DOSE;264294
25 de agosto de 2021;2° DOSE;324624
24 de agosto de 2021;2° DOSE;278473
23 de agosto de 2021;2° DOSE;310288
22 de agosto de 2021;2° DOSE;22408
21 de agosto de 2021;2° DOSE;145264
20 de agosto de 2021;2° DOSE;384483
19 de agosto de 2021;2° DOSE;380936
18 de agosto de 2021;2° DOSE;424505
17 de agosto de 2021;2° DOSE;390143
16 de agosto de 2021;2° DOSE;363213
15 de agosto de 2021;2° DOSE;47195
14 de agosto de 2021;2° DOSE;197787
13 de agosto de 2021;2° DOSE;261236
12 de agosto de 2021;2° DOSE;226553
11 de agosto de 2021;2° DOSE;189911
10 de agosto de 2021;2° DOSE;217831
9 de agosto de 2021;2° DOSE;213040
8 de agosto de 2021;2° DOSE;67752
7 de agosto de 2021;2° DOSE;119747
6 de agosto de 2021;2° DOSE;229571
5 de agosto de 2021;2° DOSE;174713
4 de agosto de 2021;2° DOSE;212967
3 de agosto de 2021;2° DOSE;135574
2 de agosto de 2021;2° DOSE;140220
1 de agosto de 2021;2° DOSE;7525
31 de julho de 2021;2° DOSE;105767
30 de julho de 2021;2° DOSE;180645
29 de julho de 2021;2° DOSE;304611
28 de julho de 2021;2° DOSE;197915
27 de julho de 2021;2° DOSE;194131
26 de julho de 2021;2° DOSE;152897
25 de julho de 2021;2° DOSE;23785
24 de julho de 2021;2° DOSE;86456
23 de julho de 2021;2° DOSE;186800
22 de julho de 2021;2° DOSE;244802
21 de julho de 2021;2° DOSE;230576
20 de julho de 2021;2° DOSE;123081
19 de julho de 2021;2° DOSE;125473
18 de julho de 2021;2° DOSE;6080
17 de julho de 2021;2° DOSE;103373
16 de julho de 2021;2° DOSE;192018
15 de julho de 2021;2° DOSE;144840
14 de julho de 2021;2° DOSE;161791
13 de julho de 2021;2° DOSE;73476
12 de julho de 2021;2° DOSE;67075
11 de julho de 2021;2° DOSE;3255
10 de julho de 2021;2° DOSE;20399
9 de julho de 2021;2° DOSE;24971
8 de julho de 2021;2° DOSE;45973
7 de julho de 2021;2° DOSE;49694
6 de julho de 2021;2° DOSE;43781
5 de julho de 2021;2° DOSE;36627
4 de julho de 2021;2° DOSE;1301
3 de julho de 2021;2° DOSE;12131
2 de julho de 2021;2° DOSE;18607
1 de julho de 2021;2° DOSE;11956
30 de junho de 2021;2° DOSE;11089
29 de junho de 2021;2° DOSE;11529
28 de junho de 2021;2° DOSE;12864
27 de junho de 2021;2° DOSE;568
26 de junho de 2021;2° DOSE;6502
25 de junho de 2021;2° DOSE;9036
24 de junho de 2021;2° DOSE;9138
23 de junho de 2021;2° DOSE;11982
22 de junho de 2021;2° DOSE;9611
21 de junho de 2021;2° DOSE;8831
20 de junho de 2021;2° DOSE;859
19 de junho de 2021;2° DOSE;7003
18 de junho de 2021;2° DOSE;10650
17 de junho de 2021;2° DOSE;11401
16 de junho de 2021;2° DOSE;9308
15 de junho de 2021;2° DOSE;10913
14 de junho de 2021;2° DOSE;10733
13 de junho de 2021;2° DOSE;693
12 de junho de 2021;2° DOSE;3629
11 de junho de 2021;2° DOSE;10723
10 de junho de 2021;2° DOSE;13036
9 de junho de 2021;2° DOSE;14212
8 de junho de 2021;2° DOSE;16503
7 de junho de 2021;2° DOSE;23392
6 de junho de 2021;2° DOSE;1002
5 de junho de 2021;2° DOSE;26549
4 de junho de 2021;2° DOSE;22359
3 de junho de 2021;2° DOSE;22779
2 de junho de 2021;2° DOSE;39969
1 de junho de 2021;2° DOSE;56053
31 de maio de 2021;2° DOSE;39603
30 de maio de 2021;2° DOSE;2422
29 de maio de 2021;2° DOSE;22393
28 de maio de 2021;2° DOSE;44519
27 de maio de 2021;2° DOSE;52173
26 de maio de 2021;2° DOSE;60171
25 de maio de 2021;2° DOSE;72977
24 de maio de 2021;2° DOSE;84937
23 de maio de 2021;2° DOSE;6250
22 de maio de 2021;2° DOSE;38902
21 de maio de 2021;2° DOSE;52010
20 de maio de 2021;2° DOSE;33822
19 de maio de 2021;2° DOSE;42007
18 de maio de 2021;2° DOSE;65192
17 de maio de 2021;2° DOSE;18435
16 de maio de 2021;2° DOSE;3314
15 de maio de 2021;2° DOSE;19280
14 de maio de 2021;2° DOSE;27066
13 de maio de 2021;2° DOSE;29349
12 de maio de 2021;2° DOSE;40035
11 de maio de 2021;2° DOSE;57512
10 de maio de 2021;2° DOSE;66061
9 de maio de 2021;2° DOSE;2918
8 de maio de 2021;2° DOSE;37974
7 de maio de 2021;2° DOSE;71612
6 de maio de 2021;2° DOSE;46654
5 de maio de 2021;2° DOSE;80910
4 de maio de 2021;2° DOSE;93724
3 de maio de 2021;2° DOSE;112220
2 de maio de 2021;2° DOSE;3736
1 de maio de 2021;2° DOSE;35864
30 de abril de 2021;2° DOSE;78048
29 de abril de 2021;2° DOSE;81708
28 de abril de 2021;2° DOSE;116412
27 de abril de 2021;2° DOSE;110932
26 de abril de 2021;2° DOSE;120684
25 de abril de 2021;2° DOSE;9383
24 de abril de 2021;2° DOSE;64116
23 de abril de 2021;2° DOSE;149484
22 de abril de 2021;2° DOSE;132882
21 de abril de 2021;2° DOSE;56129
20 de abril de 2021;2° DOSE;148347
19 de abril de 2021;2° DOSE;138409
18 de abril de 2021;2° DOSE;17685
17 de abril de 2021;2° DOSE;82779
16 de abril de 2021;2° DOSE;234333
15 de abril de 2021;2° DOSE;124016
14 de abril de 2021;2° DOSE;83114
13 de abril de 2021;2° DOSE;91661
12 de abril de 2021;2° DOSE;127812
11 de abril de 2021;2° DOSE;13993
10 de abril de 2021;2° DOSE;56565
9 de abril de 2021;2° DOSE;167300
8 de abril de 2021;2° DOSE;68747
7 de abril de 2021;2° DOSE;77967
6 de abril de 2021;2° DOSE;99763
5 de abril de 2021;2° DOSE;109726
4 de abril de 2021;2° DOSE;5491
3 de abril de 2021;2° DOSE;15538
2 de abril de 2021;2° DOSE;7381
1 de abril de 2021;2° DOSE;43424
31 de março de 2021;2° DOSE;59133
30 de março de 2021;2° DOSE;50726
29 de março de 2021;2° DOSE;45868
28 de março de 2021;2° DOSE;5731
27 de março de 2021;2° DOSE;14026
26 de março de 2021;2° DOSE;32072
25 de março de 2021;2° DOSE;40346
24 de março de 2021;2° DOSE;53953
23 de março de 2021;2° DOSE;21504
22 de março de 2021;2° DOSE;19102
21 de março de 2021;2° DOSE;2578
20 de março de 2021;2° DOSE;6552
19 de março de 2021;2° DOSE;18553
18 de março de 2021;2° DOSE;25753
17 de março de 2021;2° DOSE;32518
16 de março de 2021;2° DOSE;25597
15 de março de 2021;2° DOSE;29382
14 de março de 2021;2° DOSE;1803
13 de março de 2021;2° DOSE;11757
12 de março de 2021;2° DOSE;43355
11 de março de 2021;2° DOSE;48157
10 de março de 2021;2° DOSE;47871
9 de março de 2021;2° DOSE;50712
8 de março de 2021;2° DOSE;49812
7 de março de 2021;2° DOSE;4721
6 de março de 2021;2° DOSE;24927
5 de março de 2021;2° DOSE;63210
4 de março de 2021;2° DOSE;59885
3 de março de 2021;2° DOSE;59963
2 de março de 2021;2° DOSE;59468
1 de março de 2021;2° DOSE;28105
28 de fevereiro de 2021;2° DOSE;3341
27 de fevereiro de 2021;2° DOSE;8552
26 de fevereiro de 2021;2° DOSE;32341
25 de fevereiro de 2021;2° DOSE;20851
24 de fevereiro de 2021;2° DOSE;22668
23 de fevereiro de 2021;2° DOSE;26244
22 de fevereiro de 2021;2° DOSE;28862
21 de fevereiro de 2021;2° DOSE;2163
20 de fevereiro de 2021;2° DOSE;7476
19 de fevereiro de 2021;2° DOSE;41025
18 de fevereiro de 2021;2° DOSE;52907
17 de fevereiro de 2021;2° DOSE;53872
16 de fevereiro de 2021;2° DOSE;56299
15 de fevereiro de 2021;2° DOSE;51985
14 de fevereiro de 2021;2° DOSE;9369
13 de fevereiro de 2021;2° DOSE;12463
12 de fevereiro de 2021;2° DOSE;51133
11 de fevereiro de 2021;2° DOSE;32628
10 de fevereiro de 2021;2° DOSE;4394
9 de fevereiro de 2021;2° DOSE;1015
8 de fevereiro de 2021;2° DOSE;414
7 de fevereiro de 2021;2° DOSE;26
6 de fevereiro de 2021;2° DOSE;71
5 de fevereiro de 2021;2° DOSE;38
4 de fevereiro de 2021;2° DOSE;23
3 de fevereiro de 2021;2° DOSE;15
2 de fevereiro de 2021;2° DOSE;7
1 de fevereiro de 2021;2° DOSE;48
30 de janeiro de 2021;2° DOSE;1
29 de janeiro de 2021;2° DOSE;7
28 de janeiro de 2021;2° DOSE;35
27 de janeiro de 2021;2° DOSE;3
26 de janeiro de 2021;2° DOSE;4
25 de janeiro de 2021;2° DOSE;3
23 de janeiro de 2021;2° DOSE;6
22 de janeiro de 2021;2° DOSE;10
21 de janeiro de 2021;2° DOSE;2
20 de janeiro de 2021;2° DOSE;1
18 de janeiro de 2021;2° DOSE;2
6 de outubro de 2021;3º DOSE/ADICIONAL;83186
5 de outubro de 2021;3º DOSE/ADICIONAL;122780
4 de outubro de 2021;3º DOSE/ADICIONAL;103949
3 de outubro de 2021;3º DOSE/ADICIONAL;674
2 de outubro de 2021;3º DOSE/ADICIONAL;41584
1 de outubro de 2021;3º DOSE/ADICIONAL;27899
30 de setembro de 2021;3º DOSE/ADICIONAL;30467
29 de setembro de 2021;3º DOSE/ADICIONAL;34667
28 de setembro de 2021;3º DOSE/ADICIONAL;37478
27 de setembro de 2021;3º DOSE/ADICIONAL;44466
26 de setembro de 2021;3º DOSE/ADICIONAL;511
25 de setembro de 2021;3º DOSE/ADICIONAL;7089
24 de setembro de 2021;3º DOSE/ADICIONAL;22174
23 de setembro de 2021;3º DOSE/ADICIONAL;20265
22 de setembro de 2021;3º DOSE/ADICIONAL;20787
21 de setembro de 2021;3º DOSE/ADICIONAL;25433
20 de setembro de 2021;3º DOSE/ADICIONAL;20509
19 de setembro de 2021;3º DOSE/ADICIONAL;1121
18 de setembro de 2021;3º DOSE/ADICIONAL;6516
17 de setembro de 2021;3º DOSE/ADICIONAL;20074
16 de setembro de 2021;3º DOSE/ADICIONAL;19674
15 de setembro de 2021;3º DOSE/ADICIONAL;23973
14 de setembro de 2021;3º DOSE/ADICIONAL;20056
13 de setembro de 2021;3º DOSE/ADICIONAL;19433
12 de setembro de 2021;3º DOSE/ADICIONAL;328
11 de setembro de 2021;3º DOSE/ADICIONAL;14373
10 de setembro de 2021;3º DOSE/ADICIONAL;14200
9 de setembro de 2021;3º DOSE/ADICIONAL;10071
8 de setembro de 2021;3º DOSE/ADICIONAL;7005
7 de setembro de 2021;3º DOSE/ADICIONAL;979
6 de setembro de 2021;3º DOSE/ADICIONAL;12039
5 de setembro de 2021;3º DOSE/ADICIONAL;161
4 de setembro de 2021;3º DOSE/ADICIONAL;574
6 de outubro de 2021;UNICA;266
5 de outubro de 2021;UNICA;616
4 de outubro de 2021;UNICA;507
3 de outubro de 2021;UNICA;280
2 de outubro de 2021;UNICA;204
1 de outubro de 2021;UNICA;491
30 de setembro de 2021;UNICA;226
29 de setembro de 2021;UNICA;184
28 de setembro de 2021;UNICA;870
27 de setembro de 2021;UNICA;313
26 de setembro de 2021;UNICA;145
25 de setembro de 2021;UNICA;389
24 de setembro de 2021;UNICA;335
23 de setembro de 2021;UNICA;346
22 de setembro de 2021;UNICA;291
21 de setembro de 2021;UNICA;455
20 de setembro de 2021;UNICA;249
19 de setembro de 2021;UNICA;20
18 de setembro de 2021;UNICA;247
17 de setembro de 2021;UNICA;490
16 de setembro de 2021;UNICA;251
15 de setembro de 2021;UNICA;459
14 de setembro de 2021;UNICA;798
13 de setembro de 2021;UNICA;430
12 de setembro de 2021;UNICA;10
11 de setembro de 2021;UNICA;138
10 de setembro de 2021;UNICA;921
9 de setembro de 2021;UNICA;598
8 de setembro de 2021;UNICA;421
7 de setembro de 2021;UNICA;32
6 de setembro de 2021;UNICA;105
5 de setembro de 2021;UNICA;58
4 de setembro de 2021;UNICA;125
3 de setembro de 2021;UNICA;570
2 de setembro de 2021;UNICA;570
1 de setembro de 2021;UNICA;704
31 de agosto de 2021;UNICA;723
30 de agosto de 2021;UNICA;865
29 de agosto de 2021;UNICA;36
28 de agosto de 2021;UNICA;538
27 de agosto de 2021;UNICA;2791
26 de agosto de 2021;UNICA;1115
25 de agosto de 2021;UNICA;1053
24 de agosto de 2021;UNICA;1389
23 de agosto de 2021;UNICA;1082
22 de agosto de 2021;UNICA;253
21 de agosto de 2021;UNICA;1150
20 de agosto de 2021;UNICA;1505
19 de agosto de 2021;UNICA;2425
18 de agosto de 2021;UNICA;2672
17 de agosto de 2021;UNICA;1713
16 de agosto de 2021;UNICA;1651
15 de agosto de 2021;UNICA;1862
14 de agosto de 2021;UNICA;1979
13 de agosto de 2021;UNICA;3782
12 de agosto de 2021;UNICA;3323
11 de agosto de 2021;UNICA;1576
10 de agosto de 2021;UNICA;2381
9 de agosto de 2021;UNICA;2892
8 de agosto de 2021;UNICA;569
7 de agosto de 2021;UNICA;2085
6 de agosto de 2021;UNICA;2780
5 de agosto de 2021;UNICA;1465
4 de agosto de 2021;UNICA;2200
3 de agosto de 2021;UNICA;3629
2 de agosto de 2021;UNICA;3269
1 de agosto de 2021;UNICA;164
31 de julho de 2021;UNICA;2957
30 de julho de 2021;UNICA;5082
29 de julho de 2021;UNICA;6149
28 de julho de 2021;UNICA;6517
27 de julho de 2021;UNICA;4941
26 de julho de 2021;UNICA;6330
25 de julho de 2021;UNICA;1105
24 de julho de 2021;UNICA;5189
23 de julho de 2021;UNICA;7671
22 de julho de 2021;UNICA;8095
21 de julho de 2021;UNICA;8029
20 de julho de 2021;UNICA;11654
19 de julho de 2021;UNICA;12231
18 de julho de 2021;UNICA;2259
17 de julho de 2021;UNICA;38548
16 de julho de 2021;UNICA;32101
15 de julho de 2021;UNICA;36544
14 de julho de 2021;UNICA;44534
13 de julho de 2021;UNICA;54520
12 de julho de 2021;UNICA;56303
11 de julho de 2021;UNICA;3286
10 de julho de 2021;UNICA;36725
9 de julho de 2021;UNICA;87585
8 de julho de 2021;UNICA;120697
7 de julho de 2021;UNICA;158172
6 de julho de 2021;UNICA;66431
5 de julho de 2021;UNICA;13270
4 de julho de 2021;UNICA;615
3 de julho de 2021;UNICA;10646
2 de julho de 2021;UNICA;20397
1 de julho de 2021;UNICA;33474
30 de junho de 2021;UNICA;37755
29 de junho de 2021;UNICA;49599
28 de junho de 2021;UNICA;101511
26 de junho de 2021;UNICA;34
21 de junho de 2021;UNICA;1
16 de junho de 2021;UNICA;1
14 de junho de 2021;UNICA;1
9 de junho de 2021;UNICA;1
2 de junho de 2021;UNICA;1
1 de junho de 2021;UNICA;1
28 de maio de 2021;UNICA;1
25 de maio de 2021;UNICA;1
22 de maio de 2021;UNICA;1
27 de abril de 2021;UNICA;1
24 de abril de 2021;UNICA;1
7 de abril de 2021;UNICA;1
6 de abril de 2021;UNICA;1
